Method Name,Key Risk Prevented,Source / Location,Equivalent Project,Description / Application,Type of Measure,Timing of Measure,Depth of Change,Governance and Actor Level,Implementation Readiness,Adaptability and Robustness,Spatial Scope,Cost-Benefit Complexity,Adaptation Function
National adaptation strategy and legally binding targets,Mixed,UK Government / CCC,National Adaptation Programme (NAP),Sets long-term national priorities and legal commitments to reduce climate risks across sectors.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Integration of climate risk into policy appraisal,Mixed,HM Treasury (UK),Green Book Climate Guidance,Ensures all public investment and policy decisions account for current and future climate risks.,Governance/institutional,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Local authority adaptation plans,Mixed,Local Authorities (England),LLFA Flood Risk Strategies,Defines place-based actions by local governments to manage climate impacts and improve resilience.,Governance/institutional,Anticipatory,Incremental,Local authority,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Emergency response frameworks,Mixed,Civil Contingencies Secretariat,Incident Management Duty,Coordinates emergency services and agencies to respond effectively to extreme weather events.,Governance/institutional,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Central climate data platforms,Mixed,Met Office / Defra (UK),UK Climate Projections (UKCP18),Provides shared access to consistent climate data for decision-making across organisations.,Knowledge and behavioural,Anticipatory,Transformational,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Digital twin modelling,Mixed,EA Humber Estuary,Humber Industrial Cluster Twin,Creates virtual replicas of systems to test climate impacts and adaptation options.,Knowledge and behavioural,Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
GIS risk mapping,Mixed,Environment Agency (England),"""Check your long-term flood risk""",Maps spatial climate risks such as flooding or heat to support planning and intervention targeting.,Knowledge and behavioural,Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Complex/intangible,Adaptive Capacity Building
Post-event damage assessment systems,Mixed,Environment Agency (England),Post-Flood Asset Surveys,Uses data and tools to evaluate impacts after climate events and inform recovery.,Knowledge and behavioural,Reactive,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Adaptive Capacity Building
Tree planting (urban + rural),Mixed,Forestry Commission / Councils,Urban Catchment Partnerships / England Trees Action Plan,"Increases tree cover in cities to reduce heat, manage water, and improve air quality. Planting trees to sequester carbon, provide shade, and manage water.",Ecosystem (nature-based),Anticipatory,Incremental,National/multi-level,Shovel-ready,Flexible/modular,Catchment/system-wide,Directly Quantifiable,Direct Adaptation Action
Wetlands (creation + restoration),Flooding,Environment Agency (England) / NGOs,Medmerry Managed Realignment / Nature Recovery Network,"Restores wetlands to store floodwater, improve biodiversity, and enhance natural resilience. Creating new wetland areas to store water and support wildlife.",Ecosystem (nature-based),Anticipatory,Transformational,National/multi-level,Developmental,Flexible/modular,Catchment/system-wide,Complex/intangible,Direct Adaptation Action
